,generation,
sample_label,50,130
WT,Trixy-Sgk-Prog-P0P10-220422_WT-1-P0,Trixy-Sgk-Prog-P0P10-220422_WT-1-P10
WT,Trixy-Sgk-Prog-P0P10-220422_WT-2-P0,Trixy-Sgk-Prog-P0P10-220422_WT-2-P10
I777K-L900S,Trixy-Sgk-Prog-P0P10-220422_611-1-P0,Trixy-Sgk-Prog-P0P10-220422_611-1-P10
I777K-L900S,Trixy-Sgk-Prog-P0P10-220422_611-2-P0,Trixy-Sgk-Prog-P0P10-220422_611-2-P10
I777K-L900S,Trixy-Sgk-Prog-P0P10-220422_611-3-P0,Trixy-Sgk-Prog-P0P10-220422_611-3-P10
TKS,Trixy-Sgk-Prog-P0P10-220413_D3-1-P0,Trixy-Sgk-Prog-P0P10-220413_D3-1-P10
TKS,Trixy-Sgk-Prog-P0P10-220413_D3-2-P0,Trixy-Sgk-Prog-P0P10-220413_D3-2-P10
TKS,Trixy-Sgk-Prog-P0P10-220422_D3-3-P0,Trixy-Sgk-Prog-P0P10-220422_D3-3-P10
SgtKis,Trixy-Sgk-Prog-P0P10-220422_Sgk-1-P0,Trixy-Sgk-Prog-P0P10-220422_Sgk-1-P10
SgtKis,Trixy-Sgk-Prog-P0P10-220422_Sgk-2-P0,Trixy-Sgk-Prog-P0P10-220422_Sgk-2-P10
Trixy,Trixy-Sgk-Prog-P0P10-220413_trx-1-P0,Trixy-Sgk-Prog-P0P10-220413_trx-1-P10
Trixy,Trixy-Sgk-Prog-P0P10-220413_trx-2-P0,Trixy-Sgk-Prog-P0P10-220413_trx-2-P10
RC1,Trixy-Sgk-Prog-P0P10-220422_trxSgk1-1-P0,Trixy-Sgk-Prog-P0P10-220422_trxSgk1-1-P10
RC1,Trixy-Sgk-Prog-P0P10-220422_trxSgk1-2-P0,Trixy-Sgk-Prog-P0P10-220422_trxSgk1-2-P10
RC2-BadBoy1,Trixy-Sgk-Prog-P0P10-220422_trxSgk2-1-P0,Trixy-Sgk-Prog-P0P10-220422_trxSgk2-1-P10
RC2-BadBoy1,Trixy-Sgk-Prog-P0P10-220422_trxSgk2-3-P0,Trixy-Sgk-Prog-P0P10-220422_trxSgk2-3-P10
RC3,Trixy-Sgk-Prog-P0P10-220422_trxSgk3-1-P0,Trixy-Sgk-Prog-P0P10-220422_trxSgk3-1-P10
RC3,Trixy-Sgk-Prog-P0P10-220422_trxSgk3-2-P0,Trixy-Sgk-Prog-P0P10-220422_trxSgk3-2-P10
RC12,Trixy-Sgk-Prog-P0P10-220422_trxSgk12-1-P0,Trixy-Sgk-Prog-P0P10-220422_trxSgk12-1-P10
RC12,Trixy-Sgk-Prog-P0P10-220422_trxSgk12-2-P0,Trixy-Sgk-Prog-P0P10-220422_trxSgk12-2-P10
RC13,Trixy-Sgk-Prog-P0P10-220422_trxSgk13-1-P0,Trixy-Sgk-Prog-P0P10-220422_trxSgk13-1-P10
RC13,Trixy-Sgk-Prog-P0P10-220422_trxSgk13-2-P0,Trixy-Sgk-Prog-P0P10-220422_trxSgk13-2-P10
RC23-BadBoy2,Trixy-Sgk-Prog-P0P10-220422_trxSgk23-1-P0,Trixy-Sgk-Prog-P0P10-220422_trxSgk23-1-P10
RC23-BadBoy2,Trixy-Sgk-Prog-P0P10-220422_trxSgk23-2-P0,Trixy-Sgk-Prog-P0P10-220422_trxSgk23-2-P10
RC123-BadBoy3,Trixy-Sgk-Prog-P0P10-220413_trxSgk123-1-P0,Trixy-Sgk-Prog-P0P10-220413_trxSgk123-1-P10
RC123-BadBoy3,Trixy-Sgk-Prog-P0P10-220413_trxSgk123-2-P0,Trixy-Sgk-Prog-P0P10-220413_trxSgk123-2-P10
RC123-BadBoy3,Trixy-Sgk-Prog-P0P10-220422_trxSgk123-3-P0,Trixy-Sgk-Prog-P0P10-220422_trxSgk123-3-P10
