,generations,,,,,,,
barcodeGroup,56,64,72,80,104,112,120,128
0-520-611,,,DE5_520A-g72,,,,DE5_520A-g120,
3-612-RTRTSY,,,,DE5_612A-g80,,,,DE5_612A-g128
0-520-611,,,DE5_520B-g72,,,,DE5_520B-g120,
3-612-RTRTSY,,,,DE5_612B-g80,,,,DE5_612B-g128
0-520-611,,,DE5_520C-g72,,,,DE5_520C-g120,
3-612-RTRTSY,,,,DE5_612C-g80,,,,DE5_612C-g128
0-520-611,,,DE5_520D-g72,,,,DE5_520D-g120,
3-612-RTRTSY,,,DE5_612D-g72,,,,DE5_612D-g120,
3-611-DRTRIXY,,,,DE5_611A-g80,,,,DE5_611A-g128
4-619-SFSGI+TrixyDks,,DE5_619A-g64,,,,DE5_619A-g112,,
1-560-611+P680T,,,,DE5_560A-g80,,,,DE5_560A-g128
3-613-RTRSSY,,,,DE5_613A-g80,,,,DE5_613A-g128
1-560-611+P680T,,,,DE5_560B-g80,,,,DE5_560B-g128
3-613-RTRSSY,,,,DE5_613B-g80,,,,DE5_613B-g128
1-560-611+P680T,,,,DE5_560C-g80,,,,DE5_560C-g128
3-613-RTRSSY,,,,DE5_613C-g80,,,,DE5_613C-g128
1-560-611+P680T,,,,DE5_560D-g80,,,,DE5_560D-g128
3-613-RTRSSY,,,DE5_613D-g72,,,,DE5_613D-g120,
3-611-DRTRIXY,,,,DE5_611B-g80,,,,DE5_611B-g128
4-619-SFSGI+TrixyDks,,DE5_619B-g64,,,,DE5_619B-g112,,
2-563-SgtKis,,,,DE5_563A-g80,,,,DE5_563A-g128
3-614-TrixyDks,,,,DE5_614A-g80,,,,DE5_614A-g128
2-563-SgtKis,,,,DE5_563B-g80,,,,DE5_563B-g128
3-614-TrixyDks,,,,DE5_614B-g80,,,,DE5_614B-g128
2-563-SgtKis,,,,DE5_563C-g80,,,,DE5_563C-g128
3-614-TrixyDks,,,,DE5_614C-g80,,,,DE5_614C-g128
2-563-SgtKis,,,,DE5_563D-g80,,,,DE5_563D-g128
3-614-TrixyDks,,,DE5_614D-g72,,,,DE5_614D-g120,
3-611-DRTRIXY,,,,DE5_611C-g80,,,,DE5_611C-g128
4-619-SFSGI+TrixyDks,,DE5_619C-g64,,,,DE5_619C-g112,,
2-564-rTrixy,,,,DE5_564A-g80,,,,DE5_564A-g128
3-615-TrixyILV,,,,DE5_615A-g80,,,,DE5_615A-g128
2-564-rTrixy,,,,DE5_564B-g80,,,,DE5_564B-g128
3-615-TrixyILV,,,,DE5_615B-g80,,,,DE5_615B-g128
2-564-rTrixy,,,,DE5_564C-g80,,,,DE5_564C-g128
3-615-TrixyILV,,,,DE5_615C-g80,,,,DE5_615C-g128
2-564-rTrixy,,,,DE5_564D-g80,,,,DE5_564D-g128
3-615-TrixyILV,,,DE5_615D-g72,,,,DE5_615D-g120,
3-611-DRTRIXY,,,,DE5_611D-g80,,,,DE5_611D-g128
4-619-SFSGI+TrixyDks,,DE5_619D-g64,,,,DE5_619D-g112,,
4-620-SFSGI+TrixyILV,DE5_620A-g56,,,,DE5_620A-g104,,,
2.5-594-SG+RTRKSY,,,,DE5_594A-g80,,,,DE5_594A-g128
4-616-SFSGI+DRTRIXY,,,,DE5_616A-g80,,,,DE5_616A-g128
2.5-594-SG+RTRKSY,,,,DE5_594B-g80,,,,DE5_594B-g128
4-616-SFSGI+DRTRIXY,,,,DE5_616B-g80,,,,DE5_616B-g128
2.5-594-SG+RTRKSY,,,,DE5_594C-g80,,,,DE5_594C-g128
4-616-SFSGI+DRTRIXY,,,,DE5_616C-g80,,,,DE5_616C-g128
2.5-594-SG+RTRKSY,,,,DE5_594D-g80,,,,DE5_594D-g128
4-616-SFSGI+DRTRIXY,,,,DE5_616D-g80,,,,DE5_616D-g128
4-620-SFSGI+TrixyILV,DE5_620B-g56,,,,DE5_620B-g104,,,
2.5-595-SGI+RTRKSY,,,,DE5_595A-g80,,,,DE5_595A-g128
4-617-SFSGI+RTRTSY,,,,DE5_617A-g80,,,,DE5_617A-g128
2.5-595-SGI+RTRKSY,,,,DE5_595B-g80,,,,DE5_595B-g128
4-617-SFSGI+RTRTSY,,,,DE5_617B-g80,,,,DE5_617B-g128
2.5-595-SGI+RTRKSY,,,,DE5_595C-g80,,,,DE5_595C-g128
4-617-SFSGI+RTRTSY,,,,DE5_617C-g80,,,,DE5_617C-g128
2.5-595-SGI+RTRKSY,,,,DE5_595D-g80,,,,DE5_595D-g128
4-617-SFSGI+RTRTSY,,,,DE5_617D-g80,,,,DE5_617D-g128
4-620-SFSGI+TrixyILV,DE5_620C-g56,,,,DE5_620C-g104,,,
2.5-596-SFSGI+RTRKSY,,,,DE5_596A-g80,,,,DE5_596A-g128
4-618-SFSGI+DRTRIXY,,,,DE5_618A-g80,,,,DE5_618A-g128
2.5-596-SFSGI+RTRKSY,,,,DE5_596B-g80,,,,DE5_596B-g128
4-618-SFSGI+DRTRIXY,,,,DE5_618B-g80,,,,DE5_618B-g128
2.5-596-SFSGI+RTRKSY,,,,DE5_596C-g80,,,,DE5_596C-g128
4-618-SFSGI+DRTRIXY,,,,DE5_618C-g80,,,,DE5_618C-g128
2.5-596-SFSGI+RTRKSY,,,,DE5_596D-g80,,,,DE5_596D-g128
4-618-SFSGI+DRTRIXY,,,,DE5_618D-g80,,,,DE5_618D-g128
4-620-SFSGI+TrixyILV,DE5_620D-g56,,,,DE5_620D-g104,,,
